NAME,TYPE,COUNTY,PROVINCE,REGION,Longitude,Latitude,DESCRIPTIO,BUFF_DIST,ORIG_FID
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.70764753,53.29524754,Wharf usually built parallel to the shoreline,500,127
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.6720172,53.30487038,Wharf usually built parallel to the shoreline,500,128
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.68257455,53.28744302,Wharf usually built parallel to the shoreline,500,125
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.69619883,53.29238625,Wharf usually built parallel to the shoreline,500,126
Lettermore Quay,QUAY,GALWAY,CONNAUGHT,West,-9.65373334,53.28784651,Wharf usually built parallel to the shoreline,500,123
Lettermore Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.67554204,53.2878274,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,124
Annaghvaan,PIER,GALWAY,CONNAUGHT,West,-9.64932076,53.31421647,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,121
Lettermore Island,PIER,GALWAY,CONNAUGHT,West,-9.63466945,53.2949006,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,122
Bealadangan Quay,QUAY,GALWAY,CONNAUGHT,West,-9.62375353,53.31097194,Wharf usually built parallel to the shoreline,500,119
Bealadangan Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60067818,53.32583633,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,120
Rossroe Island Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60390269,53.28727167,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,117
Carraoe North,QUAY,GALWAY,CONNAUGHT,West,-9.60197587,53.29431703,Wharf usually built parallel to the shoreline,500,118
An Ceathr̼ Rua,QUAY,GALWAY,CONNAUGHT,West,-9.62432889,53.26085751,Wharf usually built parallel to the shoreline,500,115
An Ceathr̼ Rua Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60414378,53.27591172,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,116
Carraroe Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.59032147,53.26776483,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,113
An Ceathr̼ Rua Quay,QUAY,GALWAY,CONNAUGHT,West,-9.57802771,53.25445994,Wharf usually built parallel to the shoreline,500,114
Ros a Mhil Quay,QUAY,GALWAY,CONNAUGHT,West,-9.5625882,53.26687605,Wharf usually built parallel to the shoreline,500,111
Rossaveel Quay,QUAY,GALWAY,CONNAUGHT,West,-9.56002553,53.26708081,Wharf usually built parallel to the shoreline,500,112
An Spid̩al Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.30373656,53.24312668,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,109
Keeraunnagark South,QUAY,GALWAY,CONNAUGHT,West,-9.54917102,53.24593574,Wharf usually built parallel to the shoreline,500,110
An Spid̩al Quay,QUAY,GALWAY,CONNAUGHT,West,-9.30515912,53.24245444,Wharf usually built parallel to the shoreline,500,107
Cora na C̩ibhe,QUAY,GALWAY,CONNAUGHT,West,-9.30871788,53.24004247,Wharf usually built parallel to the shoreline,500,108
Claddagh Pier,PIER,GALWAY,CONNAUGHT,West,-9.04705043,53.26664023,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,105
Barna Quay,QUAY,GALWAY,CONNAUGHT,West,-9.14955525,53.24857621,Wharf usually built parallel to the shoreline,500,106
Oranmore Castle Pier,PIER,GALWAY,CONNAUGHT,West,-8.93434248,53.26809157,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,103
Roscam Quay,QUAY,GALWAY,CONNAUGHT,West,-8.97305989,53.26937842,Wharf usually built parallel to the shoreline,500,104
Maree Quay,QUAY,GALWAY,CONNAUGHT,West,-8.96683213,53.24355884,Wharf usually built parallel to the shoreline,500,101
Rinville,QUAY,GALWAY,CONNAUGHT,West,-8.98311256,53.25114925,Wharf usually built parallel to the shoreline,500,102
Carrowmore,QUAY,GALWAY,CONNAUGHT,West,-8.95773,53.20952702,Wharf usually built parallel to the shoreline,500,99
Maree Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-8.96771003,53.24322909,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,100
Weir Village,QUAY,GALWAY,CONNAUGHT,West,-8.89747301,53.209939,Wharf usually built parallel to the shoreline,500,97
Clarinbridge,QUAY,GALWAY,CONNAUGHT,West,-8.88913843,53.22518079,Wharf usually built parallel to the shoreline,500,98
Ballycotton North,PIER,CORK,MUNSTER,South,-8.00200406,51.82793205,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,31
Ballycotton South,PIER,CORK,MUNSTER,South,-8.00011983,51.82743172,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,32
Youghal Quay South,QUAY,CORK,MUNSTER,South,-7.84482227,51.95347246,Wharf usually built parallel to the shoreline,500,29
Knockadoon Head Slip,SLIPWAY,CORK,MUNSTER,South,-7.86634946,51.88517402,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,30
Aughinish Quay,QUAY,LIMERICK,MUNSTER,Mid-West,-9.05705867,52.61586725,Wharf usually built parallel to the shoreline,500,27
Youghal Quay North,QUAY,CORK,MUNSTER,South,-7.8464329,51.95608747,Wharf usually built parallel to the shoreline,500,28
Glin Quay,QUAY,LIMERICK,MUNSTER,Mid-West,-9.28714165,52.57180557,Wharf usually built parallel to the shoreline,500,25
Aughinish Quay,QUAY,LIMERICK,MUNSTER,Mid-West,-9.05436644,52.61827744,Wharf usually built parallel to the shoreline,500,26
Beal Lough Slipway,SLIPWAY,CORK,MUNSTER,SOUTH,-9.85500618,51.65439806,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,23
Glin Pier,PIER,LIMERICK,MUNSTER,Mid-West,-9.28308152,52.575034,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,24
Bear Island Pier,PIER,CORK,MUNSTER,SOUTH,-9.89988865,51.63864347,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,21
Beal Lough Pier,PIER,CORK,MUNSTER,SOUTH,-9.85500618,51.65480552,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,22
Garnish Quay,QUAY,CORK,MUNSTER,SOUTH,-10.13335156,51.61882115,Wharf usually built parallel to the shoreline,500,19
Back Ball Harbour,QUAY,CORK,MUNSTER,SOUTH,-10.04029677,51.59562628,Wharf usually built parallel to the shoreline,500,20
Tinnally Point Slip,SLIPWAY,KERRY,MUNSTER,SOUTH-WEST,-9.78522202,52.14927476,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,17
Rossdohan Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-9.85845449,51.81105638,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,18
Dunquin Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.46200291,52.12490982,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,15
Cloonearagh Slip,SLIPWAY,KERRY,MUNSTER,SOUTH-WEST,-9.78577264,52.15182137,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,16
Scraggano Point Slip,SLIPWAY,KERRY,MUNSTER,SOUTH-WEST,-10.03343868,52.31016732,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,13
An Dun Rua Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.30989358,52.23741833,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,14
MOOGHAUNNAMARVE SLIP,SLIPWAY,KERRY,MUNSTER,SOUTH-WEST,-9.8630312,52.39144971,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,11
Scraggano Point Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.03313411,52.31039575,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,12
Money Point Quay,QUAY,CLARE,MUNSTER,Mid-WEST,-9.39574313,52.60594384,Wharf usually built parallel to the shoreline,500,9
Moneycashen Quay,QUAY,KERRY,MUNSTER,SOUTH-WEST,-9.68059316,52.48251644,Wharf usually built parallel to the shoreline,500,10
Kilkee Slipway,SLIPWAY,CLARE,MUNSTER,Mid-WEST,-9.64952692,52.6826196,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,7
Poulnadarree Quay,QUAY,CLARE,MUNSTER,Mid-WEST,-9.39208827,52.60975098,Wharf usually built parallel to the shoreline,500,8
Inishmaan Slipway,SLIPWAY,GALWAY,CONNAUGHT,WEST,-9.59097314,53.10011031,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,5
Inishmore N-W,SLIPWAY,GALWAY,CONNAUGHT,WEST,-9.8272441,53.14069439,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,6
Inisheer East Pier,PIER,GALWAY,CONNAUGHT,WEST,-9.50194323,53.05983079,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,3
Inisheer South Quay,QUAY,GALWAY,CONNAUGHT,WEST,-9.52295863,53.04755277,Wharf usually built parallel to the shoreline,500,4
Inis Leacan Pier,PIER,MAYO,CONNAUGHT,WEST,-9.92155854,53.37440188,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,1
Bird Island Quay,QUAY,MAYO,CONNAUGHT,WEST,-8.95857903,53.25691679,Wharf usually built parallel to the shoreline,500,2
Brandon Pier,PIER,KERRY,MUNSTER,South-West,-10.15873679,52.26823104,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,63
Fenit Pier,PIER,KERRY,MUNSTER,South-West,-9.85987551,52.26985957,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,64
Inch Quay,QUAY,KERRY,MUNSTER,South-West,-9.93123183,52.14702179,Wharf usually built parallel to the shoreline,500,61
Ventry,PIER,KERRY,MUNSTER,South-West,-10.36445778,52.11539963,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,62
Cromane Slip,SLIPWAY,KERRY,MUNSTER,South-West,-9.89976313,52.12053355,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,59
Ballykissane Pier,PIER,KERRY,MUNSTER,South-West,-9.78488846,52.12563947,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,60
Cahersiveen Quay,QUAY,KERRY,MUNSTER,South-West,-10.22978941,51.94794983,Wharf usually built parallel to the shoreline,500,57
Cromane Slip,SLIPWAY,KERRY,MUNSTER,South-West,-9.91924025,52.09687164,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,58
Reenard Point Quay,QUAY,KERRY,MUNSTER,South-West,-10.2777205,51.92762257,Wharf usually built parallel to the shoreline,500,55
Aghnagar Quay,QUAY,KERRY,MUNSTER,South-West,-10.24965426,51.90001901,Wharf usually built parallel to the shoreline,500,56
Illaunloughan Quay,QUAY,KERRY,MUNSTER,South-West,-10.36918553,51.88766843,Wharf usually built parallel to the shoreline,500,53
Knight's Town Quay,QUAY,KERRY,MUNSTER,South-West,-10.28612029,51.92574707,Wharf usually built parallel to the shoreline,500,54
Ballinskelligs Slip,SLIPWAY,KERRY,MUNSTER,South-West,-10.27302057,51.81074784,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,51
Cloghanecanuig Quay,QUAY,KERRY,MUNSTER,South-West,-10.35657611,51.84617145,Wharf usually built parallel to the shoreline,500,52
Rineen Slipway,SLIPWAY,KERRY,MUNSTER,South-West,-10.1835703,51.78632313,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,49
Meenagulleen Slipway,SLIPWAY,KERRY,MUNSTER,South-West,-10.25215943,51.8389334,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,50
Derrynane Quay,QUAY,KERRY,MUNSTER,South-West,-10.14332678,51.76008944,Wharf usually built parallel to the shoreline,500,47
Bunavalla Quay,QUAY,KERRY,MUNSTER,South-West,-10.15116643,51.76498143,Wharf usually built parallel to the shoreline,500,48
Illaunleagh Quay,QUAY,KERRY,MUNSTER,South-West,-10.05529691,51.76952965,Wharf usually built parallel to the shoreline,500,45
Gortnakilly Pier,PIER,KERRY,MUNSTER,South-West,-10.10094828,51.75440497,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,46
Parknasilla Slipway,SLIPWAY,KERRY,MUNSTER,South-West,-9.89657235,51.81364763,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,43
Gleesk Quay,QUAY,KERRY,MUNSTER,South-West,-9.94015738,51.80053462,Wharf usually built parallel to the shoreline,500,44
Assroe Quay,QUAY,KERRY,MUNSTER,South-West,-9.65764856,51.86873137,Wharf usually built parallel to the shoreline,500,41
Parknasilla Quay,QUAY,KERRY,MUNSTER,South-West,-9.87392051,51.81486502,Wharf usually built parallel to the shoreline,500,42
Kenmare Pier,PIER,KERRY,MUNSTER,South-West,-9.58863721,51.87215605,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,39
Dromcunnia Quay,QUAY,KERRY,MUNSTER,South-West,-9.6370584,51.86964907,Wharf usually built parallel to the shoreline,500,40
Bunaw Quay,QUAY,KERRY,MUNSTER,South-West,-9.80676973,51.77896296,Wharf usually built parallel to the shoreline,500,37
Coornagillagh Quey,QUAY,KERRY,MUNSTER,South-West,-9.73958739,51.824212,Wharf usually built parallel to the shoreline,500,38
Garrahekinnefeake,QUAY,CORK,MUNSTER,South,-8.20398103,51.86883959,Wharf usually built parallel to the shoreline,500,35
Garrahekinnefeake,QUAY,CORK,MUNSTER,South,-8.20263818,51.86978701,Wharf usually built parallel to the shoreline,500,36
Gyleen Slip,SLIPWAY,CORK,MUNSTER,South,-8.19422684,51.79346964,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,33
Aghada Lower,PIER,CORK,MUNSTER,South,-8.20916793,51.84475807,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,34
Roaringwater Quay,QUAY,CORK,MUNSTER,SOUTH,-9.39425691,51.55268384,Wharf usually built parallel to the shoreline,500,479
Lahneralanvally Slip,SLIPWAY,CORK,MUNSTER,SOUTH,-9.39223658,51.54224548,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,480
Carrigboy Pier,PIER,CORK,MUNSTER,SOUTH,-9.53949599,51.61737172,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,477
Skeaghanore East,QUAY,CORK,MUNSTER,SOUTH,-9.43309209,51.5506261,Wharf usually built parallel to the shoreline,500,478
Dooneen Pier,PIER,CORK,MUNSTER,SOUTH,-9.72880813,51.56379564,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,475
Ahakista Pier,PIER,CORK,MUNSTER,SOUTH,-9.62883935,51.59873982,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,476
Derreenacarrin,QUAY,CORK,MUNSTER,SOUTH,-9.59719795,51.69531908,Wharf usually built parallel to the shoreline,500,473
Ballynatra Quay,QUAY,CORK,MUNSTER,SOUTH,-9.75552134,51.55953051,Wharf usually built parallel to the shoreline,500,474
Knockane Quay,QUAY,CORK,MUNSTER,SOUTH,-9.77345519,51.66126674,Wharf usually built parallel to the shoreline,500,471
Trafrask Quay,QUAY,CORK,MUNSTER,SOUTH,-9.67193847,51.68088321,Wharf usually built parallel to the shoreline,500,472
Inish Bigil Slip,SLIPWAY,MAYO,CONNAUGHT,WEST,-9.92275856,53.996062,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,469
Knockboy Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.60679945,53.89028069,Wharf usually built parallel to the shoreline,500,470
Curraghboy Quay,QUAY,MAYO,CONNAUGHT,WEST,-10.03854652,54.1927216,Wharf usually built parallel to the shoreline,500,467
Dooagh Pier,PIER,MAYO,CONNAUGHT,WEST,-10.13374537,53.9707255,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,468
Inver Pier,PIER,MAYO,CONNAUGHT,WEST,-9.87665799,54.24127123,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,465
Portacloy Pier,PIER,MAYO,CONNAUGHT,WEST,-9.78301779,54.33415518,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,466
Tory Island Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-8.22604244,55.26390469,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,463
East Town Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-8.19415767,55.25579073,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,464
Portnablagh Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-7.92867731,55.18120651,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,461
Dunfanaghy Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-7.97114209,55.18413321,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,462
Fanny's Bay Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-7.81365844,55.19814132,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,459
Downies Pier,PIER,DONEGAL,ULSTER,NORTH-WEST,-7.84181356,55.1902519,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,460
Dooneen Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.35617019,52.21182133,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,457
Woodquarter,PIER,DONEGAL,ULSTER,NORTH-WEST,-7.70205207,55.12200147,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,458
Dingle,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.27478449,52.13729694,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,455
Dingle,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.27310462,52.137101,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,456
DOOLIN QUAY,QUAY,CLARE,MUNSTER,MID-WEST,-9.40469703,53.01534226,Wharf usually built parallel to the shoreline,500,453
Dingle Pier,PIER,KERRY,MUNSTER,SOUTH-WEST,-10.27696518,52.13639856,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,454
CILL EINNE,PIER,GALWAY,CONNAUGHT,WEST,-9.66021424,53.10481922,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,451
TRA LEITREACH,PIER,GALWAY,CONNAUGHT,WEST,-9.57175458,53.08081629,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,452
CILL MUIRBHIGH,PIER,GALWAY,CONNAUGHT,WEST,-9.75163508,53.13346889,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,449
CILL MHUIRBHIGH,QUAY,GALWAY,CONNAUGHT,WEST,-9.74689212,53.13187136,Wharf usually built parallel to the shoreline,500,450
Rush Pier,PIER,DUBLIN,LENISTER,EAST,-6.07837621,53.52291439,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,505
Loughshinny Pier,PIER,DUBLIN,LENISTER,EAST,-6.07837621,53.5454373,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,506
Ballynacourth Pier,PIER,CORK,MUNSTER,SOUTH,-7.57057491,52.08402989,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,503
Tramore Slip,SLIPWAY,WATERFORD,MUNSTER,SOUTH-EAST,-7.14615654,52.15870717,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,504
Gallynagaul Slip,SLIPWAY,CORK,MUNSTER,SOUTH,-7.56466358,52.05095639,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,501
Ballynacourty Slip,SLIPWAY,CORK,MUNSTER,SOUTH,-7.57094904,52.08402989,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,502
Curraghbinny Pier,PIER,CORK,MUNSTER,SOUTH,-8.29295411,51.80829264,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,499
Gallynagaul Pier,PIER,CORK,MUNSTER,SOUTH,-7.56488806,52.05125569,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,500
Cashel Pier,PIER,MAYO,CONNAUGHT,WEST,-9.79683671,53.41605197,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,497
Ring Quay,QUAY,CORK,MUNSTER,SOUTH,-8.85004063,51.60977679,Wharf usually built parallel to the shoreline,500,498
Curhownagh Quay,QUAY,MAYO,CONNAUGHT,WEST,-10.08473245,53.46706761,Wharf usually built parallel to the shoreline,500,495
Ervallagh Pier,PIER,MAYO,CONNAUGHT,WEST,-9.9293251,53.3820923,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,496
Turbot Island Quay,QUAY,MAYO,CONNAUGHT,WEST,-10.14282937,53.50209328,Wharf usually built parallel to the shoreline,500,493
Fahy Quay,QUAY,MAYO,CONNAUGHT,WEST,-10.1157987,53.50407299,Wharf usually built parallel to the shoreline,500,494
Morrisk Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.64714006,53.78191789,Wharf usually built parallel to the shoreline,500,491
Inishturk Quay,QUAY,MAYO,CONNAUGHT,WEST,-10.15120508,53.50742327,Wharf usually built parallel to the shoreline,500,492
Rossymailley pier,PIER,MAYO,CONNAUGHT,WEST,-9.56612417,53.79273016,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,489
Westport Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.55790075,53.79806015,Wharf usually built parallel to the shoreline,500,490
Clynish Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.63640393,53.84161381,Wharf usually built parallel to the shoreline,500,487
Derrinish Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.65010962,53.84938037,Wharf usually built parallel to the shoreline,500,488
Rossanrubble Slipway,SLIPWAY,MAYO,CONNAUGHT,WEST,-9.59019081,53.86501795,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,485
Inishturk Pier,PIER,MAYO,CONNAUGHT,WEST,-9.60789179,53.85400747,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,486
Carrigillihy Slip,SLIPWAY,CORK,MUNSTER,SOUTH,-9.12218618,51.53932723,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,483
Milcum Quay,QUAY,MAYO,CONNAUGHT,WEST,-9.5709549,53.8843803,Wharf usually built parallel to the shoreline,500,484
Pookeen Quay,QUAY,CORK,MUNSTER,SOUTH,-9.3075325,51.50408375,Wharf usually built parallel to the shoreline,500,481
Lough Hyne,QUAY,CORK,MUNSTER,SOUTH,-9.30304288,51.50550546,Wharf usually built parallel to the shoreline,500,482
Clogherhead Slip,SLIPWAY,LOUTH,LEINSTER,North-East,-6.22073701,53.79872858,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,415
Blackrock Slip,SLIPWAY,LOUTH,LEINSTER,North-East,-6.36643381,53.95726725,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,416
Drogheda Quay,QUAY,LOUTH,LEINSTER,North-East,-6.32053608,53.71977853,Wharf usually built parallel to the shoreline,500,413
Clogherhead Pier,PIER,LOUTH,LEINSTER,North-East,-6.22067157,53.79813887,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,414
Balbriggan Slip,SLIPWAY,DUBLIN,LEINSTER,East,-6.18211638,53.61574617,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,411
Balbriggan Pier,PIER,DUBLIN,LEINSTER,East,-6.17700795,53.61231145,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,412
Rush Pier,PIER,DUBLIN,LEINSTER,East,-6.1192228,53.5108211,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,409
Skerries Pier,PIER,DUBLIN,LEINSTER,East,-6.10688626,53.58494493,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,410
Malahide Quay,QUAY,DUBLIN,LEINSTER,East,-6.15067136,53.45534126,Wharf usually built parallel to the shoreline,500,407
Donabate Quay,QUAY,DUBLIN,LEINSTER,East,-6.09597691,53.49002101,Wharf usually built parallel to the shoreline,500,408
Howth,QUAY,DUBLIN,LEINSTER,East,-6.06798083,53.39059366,Wharf usually built parallel to the shoreline,500,405
Howth,QUAY,DUBLIN,LEINSTER,East,-6.06468058,53.39077172,Wharf usually built parallel to the shoreline,500,406
Howth Harbour,PIER,DUBLIN,LEINSTER,East,-6.06840437,53.3919318,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,403
Howth Harbour,PIER,DUBLIN,LEINSTER,East,-6.0634407,53.39248808,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,404
D̼n Laoghaire,QUAY,DUBLIN,LEINSTER,East,-6.14075824,53.29809645,Wharf usually built parallel to the shoreline,500,401
